id,published_at,views,likes,dislikes,comments,length
3me5lCehHhc,2016-03-11T20:49:37Z,426273,43,0,1,PT46S
wfYbgdo8e-8,2016-05-31T13:24:53Z,14491692,493463,0,22040,PT4M58S
AyC1K-7GfCU,2016-02-27T01:48:17Z,2378635,16847,0,926,PT1M49S
wOmjnioNulo,2016-02-29T15:05:16Z,15123982,397988,0,13645,PT6M23S
iOlAlgsFLN8,2016-07-11T02:13:49Z,3196777,12962,0,316,PT2M41S
B03RJGMch-c,2016-11-02T04:33:37Z,3944578,34477,0,0,PT3M49S
VDPSAy0iV0M,2016-10-17T00:00:00Z,8833398,30151,0,800,PT6M13S
s2R_YleXVzA,2016-07-21T08:53:07Z,1427429,3411,0,157,PT1M43S
r4TeOa4liDs,2016-03-29T09:01:20Z,185918,1451,0,246,PT3M23S
Ne3sNoO2qZ8,2016-02-11T19:16:17Z,368635,3383,0,46,PT3M17S
4ZLXMtOK30s,2016-03-27T05:16:24Z,219742,22,0,2,PT54S
6hLSQOyjCaA,2016-12-18T18:00:17Z,283893,5084,0,528,PT5M11S
VMpwjez84S4,2016-02-24T21:19:41Z,380015,1471,0,0,PT4M49S
rStL7niR7gs,2016-10-24T15:15:59Z,20395342,567210,0,30320,PT19M33S
075RC6sZfak,2016-07-16T05:23:31Z,189294,16,0,1,PT2M27S
TVq73lzjlow,2016-12-22T22:33:29Z,576257,1587,0,54,PT6M12S
GBzeOpWQUZk,2016-06-29T22:00:00Z,187219,2519,0,283,PT7M12S
zpwRA9KQnWU,2016-04-04T15:22:29Z,8231457,46505,0,4348,PT8M19S
OT3PVdzcwbU,2016-12-25T22:27:08Z,376319,7717,0,753,PT9M33S
PD4LFEhacxg,2016-02-17T19:00:00Z,183846,3991,0,308,PT4M29S
34TKv7ZrhD0,2016-02-22T01:20:05Z,479195,8473,0,248,PT8M21S
RAHqz7bdFwI,2016-10-25T20:01:58Z,440250,4568,0,1759,PT5M30S
9FjVeHsHeI8,2016-07-05T17:19:03Z,1445775,33194,0,2679,PT15M8S
e3WQyvBpzmk,2016-10-20T20:04:44Z,224650,2524,0,129,PT3M39S
cuW0pgAR9x0,2016-02-11T17:50:15Z,1818,68,0,5,PT50S
9KFC1cxkdFQ,2016-07-11T02:30:11Z,1224910,26596,0,2869,PT14M25S
x-c2xXkTeAw,2016-09-21T16:00:04Z,416707,4137,0,576,PT3M29S
HprzRH1E9e8,2016-06-29T04:28:30Z,3183140,40445,0,2262,PT10M43S
4XwxZnYGqQk,2016-07-20T22:44:52Z,286234,4127,0,282,PT2M25S
3LRJNPmxbTo,2016-10-19T20:07:11Z,447275,4497,0,896,PT4M5S
y-ynB5Vw3Bc,2016-07-07T19:44:44Z,977143,27313,0,3137,PT11M11S
NqdzWkcXbbg,2016-04-11T15:33:31Z,32319,93,0,3,PT1M52S
oKKSPXk4hqA,2016-12-10T02:11:58Z,3105506,31325,0,1897,PT14M22S
WtxQ2GQVOKU,2016-12-24T23:12:27Z,2296,18,0,0,PT50S
XNXSawxF9Ts,2016-08-08T19:23:51Z,556979,7898,0,201,PT2M53S
2odXx11l7S4,2016-09-21T21:49:21Z,77028,2368,0,269,PT3M22S
P9i6zTM3aE4,2016-11-01T21:00:02Z,363352,5361,0,782,PT6M46S
mYCc4Cjsp5Y,2016-01-21T11:42:49Z,1422276,12318,0,402,PT5M
_1mvyis9fQg,2016-05-28T13:00:01Z,324923,1002,0,186,PT15M26S
cgcOypeB_9k,2016-03-03T00:48:48Z,1082190,12666,0,390,PT7M23S
si4CPMsd6uw,2016-07-14T18:58:18Z,2193109,19291,0,1429,PT11M33S
V_gy0ayT2us,2016-07-01T01:41:38Z,1526187,21180,0,2122,PT13M49S
Q7sLeMIa6G8,2016-12-16T18:04:12Z,300219,7419,0,872,PT30M7S
XNMLtLO4Tbc,2016-06-26T02:04:09Z,3512660,45637,0,3354,PT11M47S
SEo9Mn0M0n8,2016-12-22T19:50:44Z,195871,1609,0,38,PT12M22S
X_ssq7op00U,2016-05-08T00:00:01Z,477839,5210,0,331,PT5M34S
7oV4ttEI468,2016-01-24T18:13:53Z,4600,34,0,3,PT16S
-kB8-xp1R1s,2016-11-12T00:32:16Z,515950,16342,0,1044,PT11M18S
cuW0pgAR9x0,2016-02-11T17:50:15Z,1818,68,0,5,PT50S
5P_c9FlvwFs,2016-01-20T11:27:28Z,4427,23,0,2,PT7M21S
