id,published_at,views,likes,dislikes,comments,length
8HAxaHJfwj4,2017-05-27T21:00:00Z,339118,2452,0,244,PT4M58S
wvWpdrfoEv0,2017-12-18T14:35:45Z,2117368,84137,0,2016,PT2M23S
kS2q5XH638Q,2017-09-04T07:16:02Z,320860,730,0,0,PT2M6S
Erp8IAUouus,2017-03-29T20:27:52Z,10997464,259703,0,12144,PT7M49S
BGbNizFVz-I,2017-04-13T06:09:47Z,109979,687,0,0,PT4M54S
Sv2tok2ycXA,2017-03-12T23:00:02Z,5259992,25418,0,793,PT5M38S
KIziIE4M0WA,2017-11-27T00:00:00Z,7404756,30333,0,871,PT6M26S
tlI1pMCip8M,2017-01-17T18:03:13Z,179267,1367,0,168,PT1M16S
AfXx4CifcOo,2017-09-07T08:52:40Z,396263,33,0,1,PT3M35S
T2ZjCuGi9xA,2017-02-03T20:00:03Z,589517,8123,0,1911,PT5M4S
lc1M-tNoqx4,2017-05-01T17:24:15Z,287485,1640,0,0,PT4M24S
rJFTh5CrPO0,2017-05-12T11:00:05Z,1145655,5974,0,994,PT6M48S
cgTE_09hEDU,2017-07-12T05:55:44Z,4418537,79112,0,2421,PT10M15S
8d6ZI6gyGnk,2017-06-01T12:00:01Z,241594,1611,0,97,PT3M57S
2sT-xjyZZsc,2017-07-29T21:00:00Z,3675788,18566,0,3441,PT5M53S
2LumF9U0_jc,2017-07-30T12:21:15Z,493797,20645,0,283,PT27S
380iex-nies,2017-08-13T13:57:58Z,7093830,84159,0,0,PT5M33S
ta1Xvnc_4ro,2017-07-18T14:45:16Z,818958,2236,0,82,PT1M20S
h-4g52Uc7eQ,2017-04-30T19:00:02Z,329917,4932,0,940,PT9M11S
77tZS2E6uNk,2017-04-27T14:04:16Z,492842,6,0,0,PT3M8S
fh68paAL29U,2017-08-26T01:56:53Z,4108609,81946,0,2382,PT5M21S
t1wYBAulzWU,2017-10-17T14:14:19Z,133018953,1721335,0,29059,PT2M38S
xieTW-4Nimg,2017-10-06T11:05:19Z,375844,10,0,0,PT37S
v9l70O8AUcA,2017-07-03T21:00:02Z,466471,6093,0,718,PT10M34S
tmig6k89DKU,2017-05-25T22:33:39Z,162411,234,0,3,PT11M42S
3N8vJZNfyCU,2017-05-09T15:00:00Z,173563,1876,0,303,PT7M25S
5Vq8xHuey8s,2017-01-28T02:03:23Z,4558818,16225,0,599,PT6M17S
0GGzf5JDo58,2017-04-08T15:00:01Z,266627,6574,0,1124,PT10M49S
AgiKL_2bRn8,2017-01-12T00:18:53Z,204207,4745,0,724,PT8M15S
-lchzO44B0M,2017-06-16T14:30:01Z,652144,9297,0,1777,PT10M54S
jcvreDguURg,2017-07-27T23:00:36Z,307107,13980,0,279,PT5M15S
CzvlH0wXoNc,2017-01-04T13:44:29Z,360594,5855,0,516,PT6M46S
iETjftbFCZE,2017-04-03T11:00:03Z,270037,2438,0,101,PT7M19S
7v14iFR9TQM,2017-08-01T17:06:10Z,541283,7692,0,535,PT11M54S
mMacypRx4Io,2017-10-10T11:49:31Z,213155,6657,0,610,PT10M26S
ninBcp12ssI,2017-08-05T04:00:30Z,294587,4760,0,157,PT1M48S
PcPLvbeYDRg,2017-04-16T00:54:06Z,8723434,92001,0,5418,PT13M44S
61JoF5b3mlM,2017-09-07T02:20:15Z,2243032,23000,0,1141,PT11M23S
BCXCFFy0RvU,2017-03-31T16:04:51Z,187207,3292,0,235,PT7M23S
ju5m5aOxHn4,2017-09-23T04:02:48Z,417297,9547,0,607,PT14M27S
_mZEQ--_Ii4,2017-12-17T20:24:51Z,30859,112,0,10,PT8M35S
vmt8MkEtCFc,2017-12-27T18:00:08Z,907475,7470,0,436,PT10M28S
61JoF5b3mlM,2017-09-07T02:20:15Z,2243032,23000,0,1141,PT11M23S
vmt8MkEtCFc,2017-12-27T18:00:08Z,907475,7470,0,436,PT10M28S
-NVqZbWx3Bg,2017-05-17T19:39:04Z,337830,2253,0,399,PT7M36S
ju5m5aOxHn4,2017-09-23T04:02:48Z,417297,9547,0,607,PT14M27S
ZDOuzhaUhnk,2017-03-19T22:21:23Z,2293004,27170,0,1294,PT16M13S
