id,published_at,views,likes,dislikes,comments,length
ercfS9AaypA,2013-03-02T08:10:49Z,327,16,0,6,PT37S
Ox0vjZbUlnM,2013-04-17T16:43:30Z,1471,2,0,0,PT3M40S
FGxZ38uPVCg,2013-10-21T07:19:44Z,2762,20,0,0,PT41S
lhhh3In3IAo,2013-05-02T00:58:43Z,555,9,0,16,PT35S
H1sU2QRms2Q,2013-05-03T18:36:36Z,272,6,0,10,PT17S
B1c6fLErrKU,2013-01-10T16:18:23Z,400,8,0,0,PT51S
9gpufRSEhtA,2013-04-04T11:41:17Z,706032,853,0,58,PT1M26S
I0GoQIvgzlg,2013-05-04T15:46:11Z,652,4,0,2,PT23S
u7XUXBitato,2013-06-17T01:58:03Z,65639,702,0,87,PT12M54S
LITgawQ21-A,2013-11-01T00:27:55Z,293527,580,0,0,PT5M30S
4jQF_FUevhY,2013-09-26T07:50:15Z,862,6,0,0,PT21S
thWqreAj0QA,2013-06-13T11:42:22Z,24683,198,0,13,PT2M
cXX1VvBRaNQ,2013-09-26T08:15:31Z,417,4,0,0,PT35S
nxbXSxCv2PM,2013-09-27T08:53:59Z,323,4,0,0,PT26S
hhAYyX9fq_0,2013-07-19T01:46:01Z,3786,40,0,2,PT26S
-rnx-I2HROg,2013-09-03T16:56:44Z,446206,93,0,4,PT2M25S
ERFyHc8AeZ0,2013-09-29T23:04:20Z,3087,56,0,3,PT2M28S
OIcPjHtHyZo,2013-12-04T19:58:52Z,6875,50,0,4,PT2M38S
uG4-aywuOnY,2013-12-05T20:19:24Z,974,7,0,0,PT1M47S
ss4l_Ck1Yws,2013-06-04T23:55:41Z,5324,55,0,2,PT3M35S
-xva6lwpYJI,2013-05-02T10:46:55Z,4504,58,0,3,PT3M46S
15njarQwd8E,2013-05-07T10:07:03Z,1784,46,0,0,PT7M10S
zHtw-7z3S5k,2013-12-28T21:37:42Z,3076,62,0,2,PT3M48S
4S6AyUBLM9I,2013-02-18T08:02:39Z,9592,63,0,0,PT3M39S
FD2MroMsvdA,2013-07-06T11:13:24Z,40770,363,0,112,PT7M7S
trH4iuebjjI,2013-05-03T10:54:31Z,395149,1462,0,142,PT11M13S
Fqzrpr2lgkY,2013-03-14T23:03:49Z,2764,6,0,1,PT3M12S
63o36KdQ19c,2013-10-26T12:53:53Z,52003,645,0,151,PT4M21S
