ID,Year,View Count,Length (s),Likes
T2ZjCuGi9xA,2017,589517,304.0,8123
lc1M-tNoqx4,2017,287485,264.0,1640
rJFTh5CrPO0,2017,1145655,408.0,5974
cgTE_09hEDU,2017,4418537,615.0,79112
8d6ZI6gyGnk,2017,241594,237.0,1611
2sT-xjyZZsc,2017,3675788,353.0,18566
2LumF9U0_jc,2017,493797,27.0,20645
380iex-nies,2017,7093830,333.0,84159
ta1Xvnc_4ro,2017,818958,80.0,2236
h-4g52Uc7eQ,2017,329917,551.0,4932
77tZS2E6uNk,2017,492842,188.0,6
fh68paAL29U,2017,4108609,321.0,81946
t1wYBAulzWU,2017,133018953,158.0,1721335
xieTW-4Nimg,2017,375844,37.0,10
v9l70O8AUcA,2017,466471,634.0,6093
tmig6k89DKU,2017,162411,702.0,234
3N8vJZNfyCU,2017,173563,445.0,1876
5Vq8xHuey8s,2017,4558818,377.0,16225
0GGzf5JDo58,2017,266627,649.0,6574
AgiKL_2bRn8,2017,204207,495.0,4745
-lchzO44B0M,2017,652144,654.0,9297
jcvreDguURg,2017,307107,315.0,13980
CzvlH0wXoNc,2017,360594,406.0,5855
iETjftbFCZE,2017,270037,439.0,2438
7v14iFR9TQM,2017,541283,714.0,7692
mMacypRx4Io,2017,213155,626.0,6657
ninBcp12ssI,2017,294587,108.0,4760
PcPLvbeYDRg,2017,8723434,824.0,92001
61JoF5b3mlM,2017,2243032,683.0,23000
BCXCFFy0RvU,2017,187207,443.0,3292
ju5m5aOxHn4,2017,417297,867.0,9547
_mZEQ--_Ii4,2017,30859,515.0,112
vmt8MkEtCFc,2017,907475,628.0,7470
61JoF5b3mlM,2017,2243032,683.0,23000
vmt8MkEtCFc,2017,907475,628.0,7470
-NVqZbWx3Bg,2017,337830,456.0,2253
ju5m5aOxHn4,2017,417297,867.0,9547
ZDOuzhaUhnk,2017,2293004,973.0,27170
3i26OX1FqA8,2017,62130,255.0,2002
1xI42WTAwrk,2017,53687,126.0,1718
E_P_CMq_zk4,2017,1179011,566.0,16820
bdSwf2i6eKk,2017,2535472,636.0,35381
yr5Uv6YCgsU,2017,366206,670.0,7676
PcPLvbeYDRg,2017,8723434,824.0,92001
QlsstDzESTM,2017,3240382,444.0,23069
-ZQjAevcBek,2017,303092,700.0,3160
vpA-UboheOM,2017,1246708,590.0,19462
Y_hQQnr9yM4,2017,479414,274.0,14867
UPp2WEjvhpY,2017,62366,592.0,2524
jVEWWphRMHw,2017,530287,633.0,10328
hqoQKcIGJC0,2017,282281,620.0,4369
98DcXSWE0cs,2017,2580814,648.0,33859
-mmnYlbc_dE,2017,212023,2615.0,5566
VKpcHzrncNQ,2017,3063730,150.0,37802
gll6bw68nS8,2017,349408,734.0,8355
DiLV4AMb3nc,2017,449992,810.0,12922
hvJJIGT7YKY,2017,156600,1374.0,3475
ni6nmGli1qU,2017,430219,817.0,8827
nKUzwPI80cU,2017,544649,946.0,8143
k7-LgGu7FmQ,2017,365764,975.0,8677
P_eeJVBSrPE,2017,283592,624.0,11850
DCX3bvbdC5g,2017,2447,56.0,108
OhATtfwybYs,2017,687524,629.0,11134
qdP-eZ7Hhaw,2017,270087,171.0,60
1EUzH682UTo,2017,1056238,323.0,21339
tjLtxS03VCA,2017,1013,31.0,7
v21ahkRakec,2017,1842127,749.0,20742
MkBts5rx2wI,2017,931273,196.0,18228
bYr4twGHE4w,2017,4421148,282.0,93443
SvEPFzhpV-g,2017,462202,700.0,9211
4nzU5v1Iw7Q,2017,19103412,334.0,148901
OXjtMoPw1wU,2017,703145,225.0,2899
fnEmkCUyad0,2017,285532,1097.0,6153
QOn47-Gindw,2017,4320944,291.0,23112
iUz3U5z4lt4,2017,344887,354.0,7737
ZJKvcKYkmk8,2017,421,29.0,48
Eu6qWekh5D8,2017,867448,543.0,11301
iRwpbSunftE,2017,676368,730.0,10472
TPmVapRFE0o,2017,869548,215.0,3647
IPPRYFymyJ8,2017,686177,741.0,12444
qj853B0PTEs,2017,678385,803.0,9558
zQyJ6oAxep8,2017,277105,685.0,6201
J9y9XPsYRpk,2017,336759,994.0,7080
9cB0ea3mDsI,2017,410172,713.0,8517
CRNrGIQOZpA,2017,910773,969.0,13261
5FdFHSOjvWc,2017,728008,921.0,9569
phyFP32N7JA,2017,138826,249.0,4192
8ilCZkoCwXg,2017,362380,156.0,684
rHvfB9qCxt0,2017,1433,39.0,38
Tc3jYFW4ofE,2017,84230,759.0,3338
B4HUX9ezsMM,2017,1809,30.0,12
GSf27Pc_YVk,2017,5206741,572.0,79289
4qNJB6Xiyqg,2017,44400,59.0,74
8Fst5Rnqitw,2017,320,32.0,16
dE_-HvWr-QU,2017,72348,290.0,213
UNg-fXAl_1o,2017,6210290,604.0,146665
AgoiyZzgc6U,2017,3997167,364.0,89003
4BBqkaYhlrs,2017,65290,389.0,263
ZTwclHyQ254,2017,741680,934.0,13302
xUp7xNpOQ9o,2017,177205,372.0,1830
WxXE8_mIQhw,2017,143,47.0,10
cuZI7huEi3M,2017,777723,158.0,97
hbhK3omx0ks,2017,96168,124.0,22
JNvG-zB3D2Q,2017,157,53.0,4
M_RRThu2IkQ,2017,1603,132.0,17
T2RYD3NZJRs,2017,684634,500.0,9927
uXBiwnxx8pU,2017,908402,527.0,10837
ietPF62dE-I,2017,2021253,601.0,37364
ediJOlBciC4,2017,222641,207.0,1088
NNJ6brhCufM,2017,4400,180.0,85
-EJtSMC_vVc,2017,526,37.0,3
z7CTpXiTk44,2017,34033,245.0,444
nigdKm4AdS0,2017,92550,265.0,454
vK9B8RieKBs,2017,123476,284.0,814
XgRIswmJgio,2017,7797,26.0,84
wyfW5bQyxwg,2017,41258,574.0,139
h52uKo6mris,2017,273484,399.0,4837
yyx8ROmY_XQ,2017,793043,637.0,9059
irnlgT4hN54,2017,616270,1068.0,11867
breQ6_-Mhi8,2017,207767,364.0,754
m7jhPEZNrCQ,2017,1011,41.0,11
r-zvOq-iRUs,2017,65117,1042.0,2338
depkkuChUiA,2017,11689,242.0,70
O0s7KsmtIeM,2017,200097,527.0,165
5Kfgd4bJvso,2017,200739,342.0,3476
1G-zjAAZzTg,2017,383695,578.0,3766
TLK2SLtDHNs,2017,676332,435.0,11993
ZzLXtsRYcnE,2017,228280,384.0,1118
DeEZjstUBII,2017,287678,1252.0,6873
sPVmOV-1BVI,2017,1312,22.0,26
I1PnEt9wQtA,2017,154,44.0,21
aruC5b1rmLE,2017,143673,159.0,668
oYcqUfLhWvo,2017,160013,819.0,793
uwtdLGOQxLQ,2017,218760,425.0,395
6JlPDTe909Q,2017,1809,25.0,16
Db_ZWd6dq7w,2017,14048,32.0,234
bstaQ3KJIUE,2017,207303,150.0,1122
zBwrQTPZNxM,2017,3179,26.0,22
T8cDT6_ujHs,2017,912171,407.0,2429
MrEnShZ7kpA,2017,4231514,87.0,6125
JPw1imZffDM,2017,34549,50.0,250
kItOu0Fo9oU,2018,748647,174.0,286
riU57Pn4fco,2018,579895,89.0,52
1Jmu9lqGgbc,2018,22756318,158.0,390404
LruaD7XhQ50,2018,14356084,535.0,266445
h1H2No24VTY,2018,211366,109.0,103
eGPNEaZV6cc,2018,5308884,135.0,100016
e8xwUN8TWwY,2018,222682,682.0,4519
eQ-yukUBuRQ,2018,1129817,131.0,29
Gvg1faavh88,2018,163607,104.0,35
2nS3eO-Tvtw,2018,231622,157.0,1874
7rlbCyj5fPk,2018,281005,150.0,8893
-8tofSAtux4,2018,492768,233.0,6750
PTuZn_cMjdo,2018,225266,105.0,918
bkzJAmkYYIw,2018,3660623,250.0,68773
kdTxybWNwL4,2018,3933545,277.0,74465
afRki2_aNKg,2018,154397147,135.0,2476840
cZYNADOHhVY,2018,9993594,764.0,387998
Q8-NgZsUp4Q,2018,245443,664.0,5611
7SqTcudkVCg,2018,3445,32.0,187
oKhujNvxJrk,2018,189207,363.0,4541
-Vccnljgyvg,2018,226490,394.0,5721
VV7D34dMVlY,2018,733165,195.0,1043
2czKhkummos,2018,389253,211.0,13024
btg60-Dwrw8,2018,476238,623.0,10403
13x37X3Wphc,2018,337450,114.0,20
5S2_Plu0e2M,2018,3072231,762.0,31138
u5YNHidprZs,2018,369387,618.0,4704
-JKjCWeg410,2018,320080,301.0,0
OeXdutJ0FfQ,2018,1294394,629.0,24132
z0bjZlAMWCc,2018,1912439,786.0,17578
1NZZtIDJtas,2018,230197,640.0,2436
HVZ4XOrSBf0,2018,52691,151.0,206
SuLEme5ov2o,2018,434797,698.0,2277
44_FU7ngNOo,2018,858870,156.0,661
T_aOnn7ryIQ,2018,982,51.0,12
awKdWoQOZZo,2018,1475068,970.0,20952
kdkK7hbEzlk,2018,304308,595.0,2627
P8pqpr4DD1Y,2018,393633,536.0,5893
_goQG4f6a9Q,2018,5924537,378.0,21588
NhJ_85RSUp0,2018,435739,676.0,9034
6ut4ld7oiJw,2018,668159,502.0,12198
oMBAxWTf-vo,2018,159338,544.0,3540
r1Ur6CGGInc,2018,1579,147.0,19
9U-9v09yd5c,2018,2587175,879.0,11753
9U-9v09yd5c,2018,2587175,879.0,11753
YfZ73SK2_vA,2018,769049,694.0,6368
mbXrwzbyT7E,2018,2432241,264.0,59545
SXRyHIOGDOc,2018,278139,87.0,4574
m6haVJUDyBs,2018,300223,664.0,2531
hOp2sGUoUuc,2018,650318,545.0,9955
dWJTYN6qf3Y,2018,594024,644.0,14147
jb3rZ0n-4H4,2018,1309086,780.0,20264
n9CUHkbLw9I,2018,617098,672.0,6800
GmxJWc85ndo,2018,201688,113.0,7489
sfcyn1oO-Dk,2018,2018140,781.0,32218
fP-o7hrJkKo,2018,1114919,965.0,18420
A6xe4tKdx_c,2018,6616982,169.0,145198
-5Ge_s9HTLE,2018,1365850,1673.0,21410
A3AefrMdo6c,2018,3404979,229.0,93605
6m0Uv9WLMgA,2018,23778435,134.0,391365
0DPdwIGPh38,2018,207506,277.0,3808
wGssqUdEbUE,2018,295857,660.0,3275
g_MP6BENHEs,2018,8722105,153.0,76605
__C9bJjKUOA,2018,1326728,238.0,5713
OXcwrMDljMU,2018,775209,412.0,3711
zGFpQT40msA,2018,281123,696.0,2734
yAZA016gS7o,2018,5395,30.0,174
J7_bMdYfSws,2018,50037706,286.0,584052
xT5YXIiHN40,2018,755337,647.0,21435
P3TpGkRJUVc,2018,390222,147.0,3299
Qtwn8Lnum-Y,2018,22579852,132.0,350548
aOXPVSRxttU,2018,1994588,258.0,22696
jUpqX0pXhM0,2018,496769,402.0,6950
aWK9CcUjdAI,2018,1326,9.0,12
RJOrmf5Ykq4,2018,2112217,286.0,5436
naX3GvvumWA,2018,2921708,264.0,66013
LRt6TdSvHag,2018,82880167,285.0,912668
DYHvODnVdkA,2018,5314201,284.0,92015
GEJOvJzJibM,2018,5677113,609.0,25392
PlsFG4kp4EA,2018,4146473,345.0,16299
J1JN-FJMB08,2018,172,26.0,15
LUORMA2NvmM,2018,6719373,361.0,118271
3MkUbRfZwIc,2018,814563,606.0,4040
g152NOUypQc,2018,8045,60.0,176
rZrKgo8eBSs,2018,415747,863.0,6646
kxyEOD5_Hys,2018,976432,30.0,33
1KbxlJsceno,2018,613827,693.0,5610
oGM5tsKsjkc,2018,1783297,640.0,10599
sNcG-MIsITo,2018,200304,642.0,1715
R41r940V4n8,2018,228590,635.0,4734
4rYYfY0l14Y,2018,998479,1249.0,11470
QGwvqWi-zwc,2018,726,23.0,22
-zahWCFWFh8,2018,9306,31.0,3
1KLtZfnMKXM,2018,100334,202.0,631
aJY8rUOILT8,2018,35811,220.0,1050
o1LHIlhR6zo,2018,7048188,512.0,14493
-Chq0tSI8ek,2018,329982,378.0,1955
dd41uH3qXkk,2018,1061095,201.0,4194
GUYG4hgqmEk,2018,46693,227.0,419
huvfX-xsSsI,2018,53734,213.0,1365
VzvEcApmAcA,2018,74769,257.0,1037
5KQAH5uiPyE,2018,43479,274.0,585
2_bAgPcWeeQ,2018,27586,263.0,258
Do-6rmWIfGQ,2018,3251,153.0,3
T-yP-wapgws,2018,6086,295.0,96
IdeU54GFM-c,2018,1682,262.0,46
yCA-komPQ6Y,2018,2476669,2844.0,11805
xyZPFVvQNg4,2018,26204,1427.0,198
eZFY6GKG1Ew,2018,474,258.0,14
EFCU-qBLuKM,2018,409604,298.0,5903
dsR8q2wJ91k,2018,1521066,2807.0,6369
fOdsDXT0M5Q,2018,637857,878.0,9693
vpRxT1370bE,2018,4611365,2805.0,18844
zFDGONWdzxo,2018,7149,447.0,617
HA7bZalrnPs,2018,1058127,2805.0,5011
YFe4wXdRZWM,2018,1305,819.0,19
xfgKjAAfRIs,2018,40510,1541.0,151
HtU9Nr5Rb9Q,2018,14166,15.0,129
PiSD3US9yPo,2018,11861,636.0,777
-klPo9pilc4,2018,2021304,654.0,10780
WKmJM6E_Erw,2018,2105,10.0,17
cF8YFEKNDJM,2018,175803,355.0,5601
RsjdmfH6JdY,2018,501,15.0,5
sC352-MGB_c,2018,3177,16.0,30
5ec3nDNDzKA,2018,6504,605.0,567
8_3hNqN-4yw,2018,1130917,1130.0,324
GlnokBpi7W8,2018,3219,15.0,48
_-IRZcS0KUA,2018,34174827,633.0,54904
52dVSZ5LOQ8,2018,244987,631.0,5393
abrc3mk0vho,2018,90,54.0,16
X927uLjr-kI,2018,484623,311.0,885
_dRnV_P71P8,2018,1338594,424.0,5495
DbUaprLtkKQ,2018,25877,1417.0,157
gn7mgP-v1zA,2018,22312,1397.0,242
HABp-Sa_Zcw,2018,131233,1843.0,710
hXX8bXS6U2E,2018,8791,1408.0,71
bgQQwLUOQ1M,2018,290305,424.0,6192
dV4x2wU9Qro,2018,94927,1389.0,442
jUJwbaMKffw,2018,528308,562.0,5089
93I24BDhOeM,2018,200788,540.0,519
zEp37IR2MZs,2018,357,30.0,7
5Jef-ncdnBI,2018,33352897,725.0,89790
BWwlX56ctXI,2018,420566,60.0,3731
IZrd45zTvh0,2018,544,15.0,4
LVll-9nLpwM,2018,375,44.0,12
AmNMfvZq8jg,2018,1985,57.0,12
YOGkc5ZotyE,2018,4620,37.0,147
yBxjwpwmZmA,2018,443,57.0,10
L0eKNfN0lk8,2018,151,16.0,8
j1XaKXm3wpw,2018,858289,343.0,4216
uRDGzy4woh4,2018,2151,58.0,88
p_zWnO88FJk,2018,1018284,375.0,5238
sRAAjL_T5dU,2018,1597201,828.0,7958
Sg_iTgnFbH8,2018,1308073,526.0,5320
z5LTajeIsxk,2018,4182444,274.0,10792
sOD_sI_yJBQ,2018,10864914,242.0,33993
3LYhmn7qWIw,2018,721644,284.0,4536
Mx6VUP-eiFI,2018,3573064,424.0,14535
44AiylsHKoE,2018,533,1338.0,31
cAbTcAs9lxQ,2019,255679,65.0,27
SumDHcnCRuU,2019,8752785,195.0,249401
lBCcmedmbhM,2019,2112655,124.0,35947
J1Yv24cM2os,2019,6004652,227.0,154414
0LS0Z8fgiII,2019,6020587,210.0,74426
B3C6XVjpSJ4,2019,2468658,146.0,39187
755WWCmxaOU,2019,778605,31.0,5
JyZ8wKTaHRk,2019,4686119,351.0,90976
tUX-frlNBJY,2019,5863026,394.0,177407
ohKPqGxotao,2019,3790039,143.0,57217
BijHBOcxZzw,2019,712786,132.0,23608
vX2dryLHGIE,2019,4334275,255.0,63015
FzZk2G5y1_E,2019,3854712,178.0,30497
kNtXOl1q9Rk,2019,698848,109.0,9
fPiACLr2ac0,2019,355547,200.0,24
uOCLYZdvSxo,2019,2583877,205.0,61792
-zeBwVrzuoI,2019,1836603,103.0,272
WwgAwZkYVcg,2019,1984261,124.0,59471
rMaeir_O_ZY,2019,366416,162.0,29
hF2kTbXf1Iw,2019,375676,145.0,9233
OzEfYvphugY,2019,340508,30.0,5
uW3gbuNzsqs,2019,171796,697.0,1864
l-kHz0EL9lw,2019,85784,110.0,233
iwZSWRELnj4,2019,4012,188.0,46
Yoxdwsa-CGw,2019,593367,777.0,5805
M367lZPe0Ng,2019,3358,61.0,29
X3HZEQb_FpM,2019,789788,16.0,4
Wf-RjBqa_-Y,2019,309436,602.0,4112
Sb8lDH8w-AI,2019,542365,301.0,4471
Yb4EGj4_uS0,2019,1190989,344.0,14229
mLuIqviE1Ek,2019,3947457,562.0,81239
n4QprS_0sn8,2019,134705,168.0,3698
Yem0PQzowY0,2019,221129,602.0,7002
_43mQ66Invg,2019,425004,101.0,249
74MhsMfgrr4,2019,296410,482.0,8977
-Sd-WQ6Ur0Y,2019,154558,138.0,4759
B-G--8AG63Y,2019,235822,529.0,6510
61fM1pzKfXQ,2019,691,56.0,7
FJy6mA2X0_Q,2019,218646,536.0,6046
0yjLKLAZOaI,2019,504730,607.0,4556
cmM0WUIiGKc,2019,345829,1067.0,6202
0Nl9Aj8N7ew,2019,538769,732.0,7415
Pi4uirlI0k8,2019,603717,1012.0,12397
zB72p2-op5U,2019,180807,245.0,3897
pU_6yEt-OTA,2019,314904,719.0,3256
YJeQskL-zL0,2019,1907011,687.0,13537
Feib6FW0vPQ,2019,471045,414.0,11964
Tq0CS9MuePY,2019,220648,162.0,4
3z5A6kUMWsU,2019,222668,152.0,21
Yem0PQzowY0,2019,221129,602.0,7002
_43mQ66Invg,2019,425004,101.0,249
nTKqjnSxfIU,2019,317838,235.0,7006
-Sd-WQ6Ur0Y,2019,154558,138.0,4759
Umnt2faH-AY,2019,4014627,614.0,30158
61fM1pzKfXQ,2019,691,56.0,7
aPjbv0lpzSI,2019,827417,521.0,13267
PSfPAbUuGuM,2019,1786895,553.0,33966
I8uboVSf8rc,2019,813478,602.0,21155
zFhp4BHEVB4,2019,898709,648.0,11175
8IBrG3dPrwI,2019,250100,568.0,4891
cmM0WUIiGKc,2019,345829,1067.0,6202
Pi4uirlI0k8,2019,603717,1012.0,12397
AD4ibc0mCZc,2019,1441704,793.0,18067
nJvXDhM025g,2019,381213,606.0,10469
lstVIbf1Svs,2019,765202,666.0,19981
978_dzSPiMg,2019,171895,601.0,3497
Qs8fLxYFWQ8,2019,415512,608.0,5091
zB72p2-op5U,2019,180807,245.0,3897
27bLM4ZJ4qU,2019,294109,561.0,4701
71oZLogDeSY,2019,269257,548.0,4672
HlI3TQOd5QM,2019,1290377,616.0,7560
DTDASnq9BsY,2019,247027,133.0,7776
YJeQskL-zL0,2019,1907011,687.0,13537
deSdfZb1l5g,2019,379965,622.0,4329
MK1J_RFXizk,2019,205394,495.0,6964
aocd1QIYSp0,2019,448077,660.0,3600
z90aPpdKB7Q,2019,50312,71.0,1139
aa2lL6BGQ3c,2019,1056244,612.0,27823
vRNXpZVby1U,2019,721288,614.0,14030
OwLb1X-ZFfM,2019,543623,1355.0,100
3vdWH0nNmiw,2019,418062,442.0,3971
NpaXmQMnw3c,2019,247671,694.0,7358
tXF7rv4jIAw,2019,357211,211.0,17308
zjz99-pFtfY,2019,750434,601.0,19215
ZXjqC0EBzoM,2019,217917,562.0,6127
GcVq11rNQ2Q,2019,10354022,132.0,144667
thSVZv0tMTk,2019,949607,526.0,19074
Q_EjuxvUO70,2019,995322,1329.0,19172
ar9DyQYCT0A,2019,428729,80.0,53
ihBLsxMSVRQ,2019,914101,1249.0,115
iU-rrLJG9u0,2019,2360125,305.0,32674
JnCSsQ4HLww,2019,3259912,474.0,15101
iI-vZru7orY,2019,5981259,36.0,44301
xJyl75x6hiE,2019,9352507,269.0,116685
VdxWtVmWt5U,2019,486738,1244.0,9220
Jf1o8rdqwyE,2019,14777294,215.0,135626
i9ZbrsPjZ_g,2019,3422947,365.0,48971
VPldeLBhC9U,2019,225818,775.0,3265
D2BXCzlOe4M,2019,617306,413.0,3005
9sz5DNk4peA,2019,244256,666.0,1634
3XNDHW9JGOE,2019,4176103,195.0,171
rQwFzNi4TtI,2019,8453750,309.0,34775
DLSAnjoN70k,2019,7298235,337.0,120726
xvVu8Kbpuqg,2019,9640442,349.0,169087
RL1TRJRXnFE,2019,346661,145.0,5061
q4tp4KeQRsI,2019,100990,173.0,2228
UJtl7XMOutE,2019,14579,1552.0,223
w3zH8WINixw,2019,69,28.0,10
oaVvnRQFfgg,2019,28,15.0,16
cwBtZp3tBdU,2019,110026,216.0,2038
p78oLioAuqs,2019,984877,240.0,23529
_9uubGlzlAY,2019,17214,234.0,164
hy3BTr43q5M,2019,35390,236.0,229
8cX4TCDFVZM,2019,209165,357.0,6992
ioj9tgu-RD4,2019,2627,48.0,85
ksnCXYD94I4,2019,6323,39.0,140
6IZ2N4EidRU,2019,479578,507.0,15602
Nx_4SrXbtwI,2019,14772788,1682.0,187373
Q90RGwuEikk,2019,47656,515.0,848
k-9TsVLtRI4,2019,4212249,289.0,112873
DxmRK6wKP_o,2019,247,23.0,19
dDOKD1X2PHs,2019,137965,312.0,599
eLVJ7UOq5nU,2019,35859,247.0,459
OW6BxNXTsfU,2019,279223,185.0,1916
-skE9bCJK7U,2019,1033125,165.0,1484
5BBix55KqcY,2019,32900,279.0,281
0n12KOY-Vmc,2019,24361,193.0,209
E2nzq09riLI,2019,86,28.0,11
E7RDduyi2ps,2019,274,56.0,5
PTYRl02Ty3w,2019,3632,975.0,42
UrnLQsHZz-U,2019,2396,103.0,111
XjJ7o-8SwI4,2019,12363,249.0,240
VKdIwjDNvGc,2019,2555,397.0,18
d31wwtoph3M,2019,76055,340.0,377
eTBeX3Zf3BE,2019,12882,1038.0,105
PuYgZzkeJGg,2019,4511948,602.0,34193
nsiAi1mFs0g,2019,7580591,621.0,51159
T4nm0t77gpA,2019,85549,224.0,593
J_rWzqyBsuM,2019,181401,236.0,3916
ARDJy_KWXgY,2019,303026,777.0,3400
1WbWUJ9zjNs,2019,6130,212.0,52
Nx_4SrXbtwI,2019,14772788,1682.0,187373
T4nm0t77gpA,2019,85549,224.0,593
a7H36gTnk2k,2019,210044,65.0,2441
1WbWUJ9zjNs,2019,6130,212.0,52
J_rWzqyBsuM,2019,181401,236.0,3916
d31wwtoph3M,2019,76055,340.0,377
VKdIwjDNvGc,2019,2555,397.0,18
_LkRQT1Z-vc,2019,537333,631.0,7997
PTYRl02Ty3w,2019,3632,975.0,42
eTBeX3Zf3BE,2019,12882,1038.0,105
PuYgZzkeJGg,2019,4511948,602.0,34193
nsiAi1mFs0g,2019,7580591,621.0,51159
HfInepwv_qM,2019,18380,216.0,503
LMtUy5rUFR0,2019,27840,1053.0,210
-7JFh-QrhCU,2019,1499580,2899.0,9778
GmmAgwyUb00,2019,133675,16.0,4310
4o5SqZHn9nA,2019,239559,677.0,1574
aiwOfdzjICE,2019,4886,57.0,73
RnkLOE0m7p8,2019,610,60.0,7
I29guXT-7As,2019,541,56.0,5
2yRiPb1ltT4,2019,29071,1028.0,170
3zG34kAVIwU,2019,828102,97.0,24
V6VxxUddOrw,2019,150054,997.0,742
UQPXSyLv86U,2019,3754,476.0,31
aBR2yW7m3KU,2019,105,56.0,7
GwH9xyrwVbM,2019,16959,1034.0,207
4hWYrWzAXBc,2019,1254152,418.0,6731
JJ46MguQoJE,2019,976496,270.0,4419
ilTIrKgO_ZE,2019,6315107,395.0,25210
efF92rl95NQ,2019,780437,741.0,12991
SGnAUJoI8GQ,2019,232573,2626.0,2010
6o6jPZOKepQ,2019,290629,1576.0,7129
MxVVdCgHghQ,2019,553,16.0,0
PuYgZzkeJGg,2019,4511948,602.0,34193
nsiAi1mFs0g,2019,7580591,621.0,51159
HfInepwv_qM,2019,18380,216.0,503
LMtUy5rUFR0,2019,27840,1053.0,210
-7JFh-QrhCU,2019,1499580,2899.0,9778
GmmAgwyUb00,2019,133675,16.0,4310
LPv7Dit9sSU,2019,363586,686.0,3279
4o5SqZHn9nA,2019,239559,677.0,1574
aiwOfdzjICE,2019,4886,57.0,73
RnkLOE0m7p8,2019,610,60.0,7
I29guXT-7As,2019,541,56.0,5
2yRiPb1ltT4,2019,29071,1028.0,170
V6VxxUddOrw,2019,150054,997.0,742
UQPXSyLv86U,2019,3754,476.0,31
aBR2yW7m3KU,2019,105,56.0,7
GwH9xyrwVbM,2019,16959,1034.0,207
4hWYrWzAXBc,2019,1254152,418.0,6731
JJ46MguQoJE,2019,976496,270.0,4419
ilTIrKgO_ZE,2019,6315107,395.0,25210
efF92rl95NQ,2019,780437,741.0,12991
6_SqW5byDMo,2019,310467,489.0,4176
SGnAUJoI8GQ,2019,232573,2626.0,2010
6o6jPZOKepQ,2019,290629,1576.0,7129
MxVVdCgHghQ,2019,553,16.0,0
XJoWO-xlVTk,2019,1919799,228.0,81236
LyHcjgwFxkk,2019,203992,381.0,1326
Ngja0eQ9mpk,2019,267,19.0,0
AU3TR4PKvTA,2019,355,4.0,0
iw8iprGMmPU,2019,593,31.0,5
VduMMamAVdI,2019,168,27.0,12
rBdV1iam5Ts,2019,6098,55.0,63
aDYZuHLfQmw,2019,752581,283.0,4366
NSBabkVHeNE,2019,1587105,408.0,5293
79UGt02ow5o,2019,3584,177.0,65
JjmX_PLgovk,2020,2718290,45.0,182789
MXOypGSnHzI,2020,238515,155.0,7038
hMDsmKRO8YI,2020,10985911,123.0,199213
CdZlocIhZfo,2020,791955,11.0,73
zVTbThoLTLI,2020,385864,150.0,278
qTE6hE1a_vU,2020,1293243,100.0,27972
JmohuhGTOFA,2020,1999104,134.0,51815
U6x1APTCfXw,2020,11446333,176.0,41349
NVGuFdX5guE,2020,4775601,384.0,225877
tL2X3Fy0BUQ,2020,17493074,100.0,217208
hsWr_JWTZss,2020,10618031,402.0,305848
hlFkzt6BQ60,2020,184608,150.0,1332
cbIsdtIi4Sw,2020,1052603,145.0,10564
jL_2QADpB48,2020,4151997,151.0,43379
COmW6r23zas,2020,2982726,271.0,96766
i4Gg7V76rM0,2020,5683796,85.0,64531
VOJ6M1k0gO4,2020,13100083,271.0,160857
QLK2DYoCH7s,2020,1510199,227.0,139517
3YFeE1eDlD0,2020,7465885,289.0,256025
4PciKCq-5pI,2020,278776,334.0,5455
snAhsXyO3Ck,2020,5358313,659.0,317586
tNGk9ctP7bY,2020,190773,167.0,18
JDm2tdYvKSU,2020,406481,61.0,26
9vkncb3Y8ks,2020,2781453,273.0,49021
I_GDNpn2Q04,2020,379493,192.0,13196
dDYFiq1l5Dg,2020,8953862,722.0,218247
zG43qvo-0C4,2020,368266,235.0,106
boezS4C_MFc,2020,9501129,629.0,239712
Da0AS7D59gc,2020,5286968,67.0,16
K97kglKj5pU,2020,169377,467.0,0
mpUGfvl27RM,2020,842046,324.0,21397
3SEfFauRHEw,2020,899262,383.0,17548
yzz5UG0RHVI,2020,198443,31.0,16
EhLG2BGRqcw,2020,211335,15.0,4
nw6doObQWEc,2020,7253,1711.0,296
6zvK812dBrw,2020,7595587,297.0,68638
iBmdcYt6uxg,2020,1460897,248.0,235
_D1JFEs3PKk,2020,342985,130.0,11433
HpMeDDsDf7M,2020,365027,499.0,0
-bNL9TZM33E,2020,234249,521.0,7108
DJ2A_ilSX8U,2020,325324,139.0,14536
Cs8bMZu4n8I,2020,221095,405.0,0
cbIsdtIi4Sw,2020,1052603,145.0,10564
t7Pa0c0d_lY,2020,449957,8.0,41598
WjIelGHOTZk,2020,183915,547.0,0
3VnI8BOVarc,2020,218669,341.0,5036
jY1cLNXPzk8,2020,1008539,648.0,23532
eLgYStIW3DQ,2020,1192374,551.0,11619
GXtWee415-4,2020,278831,677.0,1522
FHdAk2cYCvY,2020,7313868,147.0,52762
gNDCxHn17h0,2020,23,175.0,35783
742rjaRrGXU,2020,253925,287.0,5265
NXIPmpXZXQM,2020,654779,541.0,7232
aP3Bp91VDfE,2020,193583,671.0,4890
6zvK812dBrw,2020,7595587,297.0,68638
bSHDybxnF0U,2020,388763,605.0,3755
xN44mHyftOk,2020,157008,713.0,2439
2yGKeiVxm5I,2020,597453,42.0,6
VOJ6M1k0gO4,2020,13100083,271.0,160857
NawVFAYafW8,2020,194202,609.0,1668
Ad0xCnhC4QA,2020,673015,447.0,9802
