id,published_at,length,views
Sf49ApOk-fU,2013-06-17T07:00:28Z,PT43M36S,
X9cOVxrserk,2013-03-21T14:05:37Z,PT1H25M56S,
n7-R_s0-Cn8,2013-11-17T08:10:11Z,PT43M34S,
OtZVj66Im0Y,2013-06-19T03:35:21Z,PT40M54S,
is3k83UsPAw,2013-09-02T03:02:11Z,PT43M19S,
nBow_24oRv8,2013-05-24T15:55:13Z,PT22M8S,
TSJ2II9dBvY,2013-03-08T08:01:30Z,PT21M33S,
WttEX04zUO4,2013-10-16T23:55:51Z,PT42M27S,
I_RUuXHjlQs,2013-11-23T06:40:17Z,PT25M10S,
f-T-C_NI4iA,2013-08-28T11:12:51Z,PT42M48S,
KvycFkyWkL0,2013-09-02T03:03:15Z,PT42M10S,
xgltVAX2Sqc,2013-10-13T10:30:05Z,PT1H46M50S,
Gcya0XongU8,2013-02-20T00:30:28Z,PT45M5S,
IFRJqCjiEUQ,2013-06-17T07:00:34Z,PT42M17S,
kemmqFO6yrU,2013-08-12T14:40:37Z,PT7M59S,3899.0
gWMQd76jOQ0,2013-10-28T04:10:36Z,PT29M47S,
K794o0SJznM,2013-07-22T03:10:28Z,PT41M8S,
37_HMOifwOc,2013-12-02T05:00:13Z,PT29M14S,
Yu3r-WWcQaE,2013-02-18T05:35:21Z,PT45M6S,
NgzwrzwkmJw,2013-10-14T04:11:26Z,PT28M43S,
XgZC6Di0Zgc,2013-09-23T02:24:28Z,PT43M56S,
aTm9IqME4Io,2013-03-29T08:00:25Z,PT21M33S,
lpwaUFJrj7U,2013-08-18T07:01:19Z,PT50M31S,
FsT74rabx60,2013-08-26T07:48:33Z,PT42M49S,
OGwc1w8_HUw,2013-07-10T20:00:29Z,PT21M10S,
rcvYNr6bW8c,2013-10-25T16:09:45Z,PT42M1S,
m7rCiLlMVZM,2013-11-11T07:39:53Z,PT25M31S,
wxEBeL86ep4,2013-10-21T07:13:43Z,PT23M57S,
o4Y4wvzVQk4,2013-01-21T11:54:31Z,PT2M52S,580.0
fW3xlJmHeuQ,2013-08-30T06:42:58Z,PT43M44S,
QNFmZYqPpsY,2013-09-02T03:02:00Z,PT43M34S,
3DqzaG_YqcE,2013-04-12T08:02:59Z,PT21M33S,
ZyfkAmJfFvo,2013-03-09T05:00:22Z,PT42M29S,
FuZwc4lITRs,2013-03-21T08:00:42Z,PT42M56S,
DbuOLPQx3Rk,2013-10-16T04:41:23Z,PT21M10S,
Bx5D7v-px_s,2013-05-21T10:29:44Z,PT1H34M15S,
oYAlEzMa8wc,2013-12-02T05:00:08Z,PT28M8S,
QxMNU85IDdQ,2013-03-19T08:01:43Z,PT42M41S,
o1AqxFgUa9s,2013-09-20T16:11:22Z,PT20M1S,
YS8upg1zK2I,2013-09-03T02:44:06Z,PT42M7S,
ShIR0pE_WG8,2013-04-24T09:10:05Z,PT43M34S,
_e8GgRbX9MY,2013-04-29T15:45:13Z,PT23M4S,
2wKB8s7YzqM,2013-04-29T09:04:55Z,PT41M58S,
Hpm7fZ_JOTY,2013-12-24T19:50:56Z,PT3M14S,350.0
rSww_-MPLVk,2013-01-11T00:16:46Z,PT23M41S,
EhMv5O52qtg,2013-06-14T00:05:16Z,PT21M1S,
g0kdoIN87a8,2013-06-13T03:55:22Z,PT44M14S,
5BqkiTzQWp4,2013-11-11T02:55:54Z,PT45M58S,
0VfjeSnnmA0,2013-10-21T09:09:44Z,PT22M9S,
ElELngw5Abk,2013-11-04T05:11:28Z,PT21M2S,
YB-cYuAy_3c,2013-12-22T08:00:05Z,PT43M35S,
vuCotLgG1tM,2013-03-24T21:15:30Z,PT42M1S,
IFa_w9hsCvA,2013-03-17T03:25:19Z,PT22M5S,
etO3G5tndFw,2013-04-24T19:02:10Z,PT22M16S,
19hR8fxJfaE,2013-06-19T08:11:54Z,PT20M1S,
RusTMYFla1w,2013-10-29T07:09:44Z,PT20M,
AMJNvCPKqOA,2013-09-09T09:16:16Z,PT31S,
KwrIvm1lV6Y,2013-12-14T19:26:29Z,PT41M50S,
VKRYR8PuWNI,2013-09-13T06:24:31Z,PT21M6S,
TE44wDhTprk,2013-05-28T16:05:15Z,PT42M,
f1zmWKzdFTo,2013-04-11T14:15:22Z,PT59M40S,
xibiEVmz12k,2013-12-06T00:36:30Z,PT2H6M47S,
lTeAUwtPl6U,2013-08-01T07:01:44Z,PT43M34S,
vLA4pZO7XUo,2013-04-10T13:50:24Z,PT21M45S,
BFGeY_XwI0Q,2013-08-12T11:40:59Z,PT19S,15672.0
YRJX7vgZXo8,2013-02-08T10:01:21Z,PT41M13S,
xOi0MGgEPU8,2013-05-17T18:35:20Z,PT11M28S,
VXVM9iUS64M,2013-07-11T14:30:51Z,PT1H27M52S,
fVt9r4dn5qc,2013-09-30T22:41:27Z,PT23M20S,
wdZjjXaD1Z4,2013-03-14T23:59:33Z,PT1H32M48S,
KkvjnXNLfP8,2013-02-14T07:08:02Z,PT38S,666.0
NaKOAAPp6yk,2013-11-19T22:10:05Z,PT21M1S,
O-upQRBhqwQ,2013-05-13T03:46:39Z,PT28M17S,
Ftz7WnqYko4,2013-07-03T07:05:24Z,PT20M23S,
cTCG3GaSnSo,2013-08-30T05:07:52Z,PT20M33S,
BPCrde7cVZc,2013-01-22T16:18:37Z,PT21M9S,
X9Xj8_0haQY,2013-09-24T03:10:49Z,PT21M16S,
QknoJR-2lqU,2013-11-01T07:12:28Z,PT20M2S,
D5Oal0JWxQo,2013-10-21T16:24:52Z,PT42M55S,
gZBzB1kZiRA,2013-08-10T07:01:19Z,PT42M36S,
1S-CbmsdnRM,2013-12-15T08:00:06Z,PT21M20S,
ANwbOYzyurE,2013-01-05T01:45:31Z,PT28M33S,
_h2ERcaxR6w,2013-07-09T01:10:22Z,PT10M3S,
GMom4X_ePXc,2013-10-28T04:10:24Z,PT30M7S,
jiFArGiK9Zs,2013-04-28T15:49:40Z,PT45M20S,
ercfS9AaypA,2013-03-02T08:10:49Z,PT37S,327.0
BMFL8XFARX0,2013-11-21T09:25:01Z,PT21M18S,
wtDqktb9mUg,2013-05-08T02:16:18Z,PT23M4S,
FGxZ38uPVCg,2013-10-21T07:19:44Z,PT41S,2761.0
odDpCLU4UFc,2013-11-06T05:25:22Z,PT45M10S,
XLD15FjzDS8,2013-06-17T09:40:20Z,PT21M12S,
bE_L-azuTTc,2013-08-05T06:00:32Z,PT40M56S,
AffOlyF6tXY,2013-03-25T15:55:32Z,PT42M,
ZyGJ4pJW6KU,2013-05-15T08:06:12Z,PT20M29S,
lhhh3In3IAo,2013-05-02T00:58:43Z,PT35S,555.0
Wh0zTOq-MEo,2013-04-24T18:25:21Z,PT22M17S,
Ps7mwM-JXTY,2013-01-02T18:24:41Z,PT41M21S,
o4Y4wvzVQk4,2013-01-21T11:54:31Z,PT2M52S,580.0
Fvg_3Pn8kVk,2013-06-04T07:00:40Z,PT41M18S,
XREYpRaasKM,2013-12-03T05:58:25Z,PT42M35S,
FVULfJIaZYk,2013-09-18T07:14:58Z,PT42M,
wpYFnFy5DRc,2013-08-01T23:12:31Z,PT42M37S,
Hpm7fZ_JOTY,2013-12-24T19:50:56Z,PT3M14S,350.0
AOlCLQSBQj8,2013-10-24T08:54:59Z,PT22M11S,
B1c6fLErrKU,2013-01-10T16:18:23Z,PT51S,400.0
rLBojaogPj8,2013-11-18T10:10:05Z,PT43M7S,
7Y1g9M104gw,2013-06-04T07:00:45Z,PT43M2S,
7cr0ITs9C80,2013-01-03T04:26:25Z,PT21M35S,
H1sU2QRms2Q,2013-05-03T18:36:36Z,PT17S,272.0
QV-gLX4Krk8,2013-10-18T09:32:42Z,PT43M22S,
mrGlMjSxjKc,2013-09-30T01:55:25Z,PT20M15S,
YBhAmRrAJCA,2013-09-12T07:33:09Z,PT2H19M18S,
cZaCVG6ewoA,2013-05-01T19:19:25Z,PT21M33S,
OG7pw8tmf0Q,2013-03-16T07:00:29Z,PT43M41S,
7Y1g9M104gw,2013-06-04T07:00:45Z,PT43M2S,
mrGlMjSxjKc,2013-09-30T01:55:25Z,PT20M15S,
FGxZ38uPVCg,2013-10-21T07:19:44Z,PT41S,2761.0
QV-gLX4Krk8,2013-10-18T09:32:42Z,PT43M22S,
cZaCVG6ewoA,2013-05-01T19:19:25Z,PT21M33S,
lhhh3In3IAo,2013-05-02T00:58:43Z,PT35S,555.0
OG7pw8tmf0Q,2013-03-16T07:00:29Z,PT43M41S,
-6qKZNTI6Kk,2013-11-13T02:55:36Z,PT22M24S,
Vf5v7oMiA8U,2013-09-23T20:19:39Z,PT22M26S,
yZHw5Qf5Mp8,2013-11-04T08:00:01Z,PT20M18S,
H1sU2QRms2Q,2013-05-03T18:36:36Z,PT17S,272.0
0ZB4EAAhILM,2013-04-08T21:40:20Z,PT21M35S,
G3JmjYP0M-4,2013-05-14T07:01:48Z,PT43M1S,
iXR5O3ohpNg,2013-12-05T00:27:02Z,PT24M21S,
ANyC63ajzcc,2013-03-05T08:03:20Z,PT21M31S,
1gD43xuohFc,2013-10-06T07:09:50Z,PT42M,
B1c6fLErrKU,2013-01-10T16:18:23Z,PT51S,400.0
ZPkWYD2gmLI,2013-12-16T05:00:13Z,PT24M5S,
u4OcbpYVeYk,2013-08-14T03:00:42Z,PT21M44S,
vcW_c9HuRBE,2013-01-18T18:10:28Z,PT42M22S,
58YkvQoJPko,2013-03-22T22:25:20Z,PT22M30S,
qO82fejQncA,2013-02-06T08:00:42Z,PT22M56S,
SmQ19GS0OQU,2013-11-09T10:09:49Z,PT21M33S,
7cr0ITs9C80,2013-01-03T04:26:25Z,PT21M35S,
mnACRN-TBzI,2013-05-03T17:46:08Z,PT22M9S,
HVyVM6WVosc,2013-11-18T09:40:46Z,PT21M19S,
TYB74IXRfRk,2013-11-18T09:41:04Z,PT21M17S,
mFSEsW_fzc4,2013-07-03T07:10:40Z,PT21M39S,
ml6cb_Etw0o,2013-07-07T07:01:09Z,PT42M29S,
F-rVeeUWgL8,2013-11-11T05:10:18Z,PT21M32S,
PPOJz1nZP9Y,2013-04-26T17:57:37Z,PT21M12S,
b8fRS2ZyDTA,2013-03-21T08:20:18Z,PT21M33S,
J-3aBF8mgEA,2013-09-10T04:58:22Z,PT43M1S,
_c3ute7BF-Y,2013-08-04T19:00:35Z,PT43M5S,
-Ys9aWk6_MA,2013-01-05T22:44:15Z,PT43M,
HZBoylVK51U,2013-11-11T08:10:32Z,PT21M3S,
1njCPgQ-BZ0,2013-12-16T05:12:22Z,PT23M5S,
LykKbtQC0Nw,2013-05-02T12:57:03Z,PT24M33S,
qrAovsyHLa8,2013-05-21T01:25:28Z,PT21M29S,
TM2Js2L9b_E,2013-03-06T01:30:25Z,PT22M57S,
770NuTYX0-I,2013-07-17T07:03:45Z,PT20M2S,
RSWcP7fRpJY,2013-04-03T05:00:25Z,PT42M38S,
GTDrOLzkTrM,2013-03-24T20:46:17Z,PT21M33S,
wdZjjXaD1Z4,2013-03-14T23:59:33Z,PT1H32M48S,
OdXK91L4RoE,2013-07-31T15:23:08Z,PT43M18S,
3iGjpwbwdM8,2013-10-09T07:10:41Z,PT43M2S,
3kcUpwujlOE,2013-11-25T05:13:14Z,PT55M,
BO5kbFt1Q2s,2013-04-06T20:56:17Z,PT9M3S,237967.0
