id,published_at,length,views
SumDHcnCRuU,2019-10-30T11:15:00Z,PT3M15S,8751054
LLGFSB3-NuI,2019-06-07T17:00:02Z,PT11M39S,459469
CZLPiT6d2z8,2019-03-25T15:04:22Z,PT1M17S,784625
_IopcOwfsoU,2019-10-02T16:10:55Z,PT3M32S,878072
J1Yv24cM2os,2019-03-10T15:17:38Z,PT3M47S,6003901
Dx5qFachd3A,2019-01-15T15:15:41Z,P0D,66100375
rzsVh8YwZEQ,2019-01-29T14:29:11Z,PT1M28S,838585
0LS0Z8fgiII,2019-07-20T17:58:46Z,PT3M30S,6020228
PDLJtQKM30E,2019-09-30T07:00:02Z,PT2M23S,3750236
IIPRvY5Iees,2019-12-03T08:10:32Z,PT5M35S,47960
FtCd_k9GNAs,2019-05-03T12:40:34Z,PT31S,1124283
JyZ8wKTaHRk,2019-11-21T18:00:11Z,PT5M51S,4685542
tUX-frlNBJY,2019-11-20T16:00:09Z,PT6M34S,5862549
ohKPqGxotao,2019-05-18T16:00:09Z,PT2M23S,3788767
BijHBOcxZzw,2019-04-02T18:00:01Z,PT2M12S,712548
vX2dryLHGIE,2019-10-31T20:00:06Z,PT4M15S,4332577
FzZk2G5y1_E,2019-01-11T22:30:00Z,PT2M58S,3853805
uOCLYZdvSxo,2019-09-15T20:00:06Z,PT3M25S,2583346
WwgAwZkYVcg,2019-10-18T16:00:07Z,PT2M4S,1983627
iwZSWRELnj4,2019-12-27T19:33:48Z,PT3M8S,4013
GMRGAFSckcY,2019-11-24T11:00:02Z,PT9M14S,355736
RMZfVW1a-F0,2019-11-05T17:07:52Z,PT55S,631069
sBw8OmdEkc8,2019-04-20T18:58:43Z,PT2M26S,3576308
KHCbitVc0mQ,2019-05-24T12:53:14Z,PT1M44S,202564
kOmSk3oArNE,2019-01-28T07:39:20Z,PT42M5S,N/A
qF94r1lIe3k,2019-12-05T21:00:16Z,PT5M57S,386459
61fM1pzKfXQ,2019-11-28T14:44:29Z,PT56S,691
YMzDHZmCncQ,2019-01-25T20:26:23Z,PT2M9S,631621
a7Vsx85udSs,2019-10-27T18:04:24Z,PT12M43S,200898
zB72p2-op5U,2019-06-12T15:58:17Z,PT4M5S,180787
bNsTzk4Q6ns,2019-07-01T19:00:05Z,PT10M4S,291868
_M0yjZlMbY0,2019-10-16T14:12:43Z,PT1H40M8S,N/A
t9vjSY70JzA,2019-01-09T05:00:07Z,PT54M9S,N/A
oKMuCNSJtQ0,2019-05-10T16:30:04Z,PT2M46S,182083
nbr29s1TnI4,2019-12-04T15:00:06Z,PT3M9S,26674228
z90aPpdKB7Q,2019-05-04T18:00:05Z,PT1M11S,50311
V2Zlo-hl9gU,2019-05-11T04:00:08Z,PT42M9S,N/A
cz-Kofo0Vfg,2019-10-31T14:00:05Z,PT5M31S,353721
BXVVD2F1op0,2019-02-22T17:00:02Z,PT8M40S,398446
zU8y67OKulg,2019-07-09T04:00:25Z,PT43M35S,N/A
7BLljYrIINM,2019-11-26T07:37:31Z,PT42M13S,N/A
sfC5Ga09U6E,2019-06-28T11:00:57Z,PT42M33S,N/A
yB4e6bN3EK8,2019-03-23T04:00:09Z,PT43M57S,N/A
xDdiz5xrPU8,2019-08-07T04:00:26Z,PT41M35S,N/A
KIXmm6mPekc,2019-12-02T05:00:31Z,PT41M50S,N/A
8TMW8TWhz08,2019-04-23T20:49:26Z,PT27M26S,N/A
WnIzZ1NKL70,2019-01-08T05:00:09Z,PT43M47S,N/A
GcVq11rNQ2Q,2019-05-07T18:30:00Z,PT2M12S,10351989
d9CEsT8D3Yw,2019-08-06T04:00:10Z,PT1H25M8S,N/A
qjs5AoctaiQ,2019-04-01T04:00:11Z,PT43M23S,N/A
zEB6ktu4q7Q,2019-09-21T14:29:19Z,PT41M25S,N/A
G5yd9JQ2slU,2019-02-20T20:00:01Z,PT10M52S,3411387
eq8_91QmWQ8,2019-09-24T04:00:25Z,PT42M35S,N/A
