id,published_at,length,views
zgulL6-k6ME,2021-08-09T16:25:17Z,PT21S,12545508
Hr6zY0Yt6wE,2021-09-23T15:00:07Z,PT3M23S,99993
mFEKmmGZCxg,2021-11-13T05:54:59Z,PT49S,9515129
muxK7-tCKqc,2021-06-25T22:46:27Z,PT16S,37227098
84RvbL-SS-Y,2021-05-01T22:26:33Z,PT36S,712937
JmrfT8BeQRk,2021-12-24T15:07:00Z,PT8M19S,254150
d4GGIbP2YC0,2021-12-08T12:30:08Z,PT4M55S,303004
9UMxZofMNbA,2021-06-13T11:10:55Z,P0D,45586799
3rmWJAQ0Na4,2021-11-05T00:06:50Z,P0D,4406121
Nw-za_NFVLE,2021-01-28T17:00:05Z,PT10M23S,317396
6WztAXXP7Wo,2021-03-14T14:32:41Z,PT11M13S,569413
Gz-3ygPpjjw,2021-11-18T19:37:00Z,P0D,14924229
mhJRzQsLZGg,2021-07-12T17:07:47Z,P0D,67620900
ydYDqZQpim8,2021-11-30T07:44:12Z,P0D,69342309
vVYEviQVHBU,2021-10-26T16:27:19Z,PT1M50S,1327124
WZQcrcASKxg,2021-07-02T16:00:05Z,PT4M12S,240465
L_PkXAd7UFo,2021-10-03T10:34:59Z,PT1M56S,406981
BMadvm4wioc,2021-05-01T15:00:08Z,PT8M36S,261792
R-1JXejejMg,2021-07-24T14:00:11Z,PT8M27S,1319652
Q95zFLkSgfU,2021-07-16T15:15:01Z,PT8M44S,192472
Dd7YbWyPcQo,2021-03-01T21:42:47Z,P0D,19600444
KMwQDqiHCAQ,2021-07-07T09:59:03Z,PT2H12M25S,N/A
3j7Nlj2vFCw,2021-04-01T10:02:10Z,PT2M19S,243335
WQod6VzXw5U,2021-11-15T05:47:56Z,PT8M56S,262126
6LkDdAhBgeg,2021-06-03T14:00:04Z,PT14M34S,199771
Oy73XchalDE,2021-04-17T12:01:50Z,PT15M53S,409741
LPOm4SeUQn4,2021-10-10T16:00:21Z,PT8M14S,183675
