id,published_at,length,views
PM79Epw_cp8,2014-06-04T12:24:17Z,PT4M,6700171
B_02SdGwBv4,2014-04-22T20:41:51Z,PT2M2S,8648
5mMAGcZaItg,2014-08-04T14:09:37Z,PT4M19S,545670
-KEYShtGbJQ,2014-06-12T16:00:07Z,PT4M43S,167544
7ICWL_0kjDI,2014-07-18T18:23:54Z,PT3M23S,189625
eX7fRHA3NJU,2014-02-08T02:36:01Z,PT5M4S,214549
adgiFKJKHLc,2014-09-19T18:26:35Z,PT3M36S,12694
semyy_C-Nts,2014-09-15T21:40:05Z,PT3M35S,277701
3EVTUxJtiGk,2014-12-01T21:12:55Z,PT2M4S,2181
5VolhQCqq9c,2014-09-03T18:29:18Z,PT1M4S,2864
wVXpHwgPHL0,2014-09-08T14:44:31Z,PT2M35S,1062
REP-0BdMH64,2014-07-21T16:00:07Z,PT4M28S,179404
kCoXkjWL0dQ,2014-03-24T14:10:24Z,PT2M,1460
tsytByoHFgE,2014-05-16T06:16:29Z,PT21M39S,N/A
oTcbkAo7V-o,2014-07-22T07:28:31Z,PT3M13S,169286
QQDXDMwUJiA,2014-09-03T18:20:17Z,PT58S,5595
DFWZsZIlE98,2014-10-06T07:00:11Z,PT21M37S,N/A
yFZ_HAj7WuU,2014-07-23T16:11:10Z,PT2M32S,2080
bVJALeLB5Yk,2014-06-17T05:18:14Z,PT24M42S,N/A
XuI6N4OmNcw,2014-10-30T14:00:08Z,PT2M46S,5427
g4HJwLnPQAE,2014-09-03T18:38:40Z,PT1M4S,7602
YBrHUe65Is0,2014-01-10T17:49:24Z,PT2H12M45S,N/A
-5DMlABmcZ8,2014-05-16T02:18:04Z,PT2M39S,1785
cDoijouB1SE,2014-04-17T17:35:41Z,PT6M55S,168519
rP1LeyN90D8,2014-09-03T18:26:47Z,PT1M11S,1233
WIH-JoPCSiM,2014-07-22T04:49:28Z,PT2M41S,12148
6X_6hding1k,2014-10-23T16:59:55Z,PT8M34S,2503283
5FtUg5THk9Y,2014-09-24T01:09:36Z,PT40S,698
Nr9S_qN232Y,2014-05-17T05:11:25Z,PT9S,250
Nt7j9DMHogg,2014-12-08T11:00:35Z,PT43M21S,N/A
305T3S5NBg0,2014-06-24T04:00:07Z,PT1H38M16S,N/A
qwYDXwg4A7M,2014-03-17T19:45:00Z,PT2M13S,258
iCj8WbLyhT0,2014-11-17T19:27:15Z,PT49S,41895
29m4wuC-lLA,2014-06-03T18:51:04Z,PT9M17S,393123
618NtOqlGDc,2014-06-03T15:13:42Z,PT2M29S,8852
e_rI10QNsCM,2014-12-08T05:01:29Z,PT42M4S,N/A
s6K313Eo8bI,2014-07-02T18:34:20Z,PT44M31S,N/A
fDqkyDlTVCk,2014-03-24T01:36:19Z,PT44M2S,N/A
mIHSFKcqbnA,2014-03-23T07:41:11Z,PT41M15S,N/A
wv55awOg7o4,2014-11-08T16:16:42Z,PT46S,4209
j7PfxbPaB8g,2014-12-19T20:42:37Z,PT2M23S,25971
rCMDLfQf_lk,2014-09-13T06:42:17Z,PT2M1S,N/A
BMjTNbK_5bs,2014-10-03T23:43:05Z,PT33S,213
YrZBGnIeoMs,2014-02-02T07:25:56Z,PT2M54S,5134
JX1ebvqMjOw,2014-02-16T23:13:47Z,PT2M42S,97
CxnqZ1OaAyg,2014-07-24T14:40:39Z,PT4M5S,N/A
jpxVXvBHkyg,2014-10-06T10:34:55Z,PT41M47S,N/A
2GwCaSUDLXE,2014-09-10T10:25:07Z,PT43M18S,N/A
ECplYgDFOeg,2014-01-29T02:17:49Z,PT48M10S,N/A
1ZcY9G-5bes,2014-04-11T10:29:04Z,PT22M47S,N/A
29m4wuC-lLA,2014-06-03T18:51:04Z,PT9M17S,393123
C5ekagH8wJ8,2014-03-13T16:51:08Z,PT2M38S,9105
PvazO6E9Iws,2014-04-07T07:00:05Z,PT2M11S,N/A
305T3S5NBg0,2014-06-24T04:00:07Z,PT1H38M16S,N/A
Zk7WEK4Rkzk,2014-08-21T08:22:56Z,PT1M29S,1529
AGF3RHnnueE,2014-05-20T13:43:03Z,PT34S,1827
CxnqZ1OaAyg,2014-07-24T14:40:39Z,PT4M5S,N/A
e_rI10QNsCM,2014-12-08T05:01:29Z,PT42M4S,N/A
ZB8pm3IfAKw,2014-08-07T07:26:43Z,PT2M40S,569
aEBK1r5fLp8,2014-04-15T18:45:34Z,PT4M26S,468
nbaSMFNDybk,2014-11-29T06:15:57Z,PT1M11S,4332
dsZ5fLVMLfI,2014-04-08T22:20:37Z,PT1M42S,373
f0n_BRrlsVg,2014-07-11T16:00:06Z,PT3M14S,4138
wL6pWXmm9H8,2014-10-07T03:25:25Z,PT12M35S,3121681
_fvfMWl5Q-Q,2014-02-17T08:00:07Z,PT33S,N/A
s6K313Eo8bI,2014-07-02T18:34:20Z,PT44M31S,N/A
Czpjr1RdsHk,2014-11-06T18:02:46Z,PT4M50S,130147
rij-vUFqhcU,2014-06-25T18:22:17Z,PT3M39S,386
fDqkyDlTVCk,2014-03-24T01:36:19Z,PT44M2S,N/A
mIHSFKcqbnA,2014-03-23T07:41:11Z,PT41M15S,N/A
_3xX4T8_SSY,2014-10-11T18:30:01Z,PT1M34S,975
jpxVXvBHkyg,2014-10-06T10:34:55Z,PT41M47S,N/A
1ZcY9G-5bes,2014-04-11T10:29:04Z,PT22M47S,N/A
Rl9ukSfBSlQ,2014-06-18T19:50:03Z,PT1M34S,1039
2GwCaSUDLXE,2014-09-10T10:25:07Z,PT43M18S,N/A
ECplYgDFOeg,2014-01-29T02:17:49Z,PT48M10S,N/A
WUA02xHl-lY,2014-12-18T15:30:05Z,PT12M21S,271674
PXht1CzxI9Y,2014-04-30T06:49:28Z,PT7M23S,375
_BJ9mGvFsG4,2014-02-10T20:32:26Z,PT4M55S,778
yZymNjhditI,2014-07-15T07:00:06Z,PT21M58S,N/A
wjIMWuBSvLA,2014-12-07T08:57:00Z,PT5M20S,7646
