id,published_at,length,views
qpj87cKaNh0,2015-12-18T15:00:03Z,PT10M26S,965489
e3F3nzkzRnE,2015-11-18T17:19:29Z,PT2M45S,1530292
ptMkEQhtEew,2015-11-04T00:50:31Z,PT2M33S,38072
HH9niGE773o,2015-02-06T10:36:04Z,PT2M39S,4328
iYfb1kcuJTA,2015-10-30T11:45:09Z,PT2M41S,9967
Op-9YvHpVjA,2015-09-19T03:48:53Z,PT2M36S,255066
s9_nyrZu7z8,2015-08-17T13:06:25Z,PT1M28S,1267
GZqTrNwL2Dc,2015-09-29T17:41:47Z,PT1M41S,3709
dreqaEMtRj4,2015-09-01T18:09:22Z,PT1M33S,11340
cX4-UBFNBsA,2015-07-27T21:00:00Z,PT6M,275756
3WPULoD-5Gs,2015-06-06T08:28:01Z,PT6M6S,165563
zP-hH2j2HMk,2015-02-27T08:00:01Z,PT20M15S,N/A
G-D0JQ2aZ5c,2015-04-28T21:30:01Z,PT8M53S,4901539
UvfCOOMhQ2o,2015-01-10T07:45:37Z,PT1M52S,1518
xu_mRAU14dA,2015-05-20T00:41:07Z,PT1M18S,29876
YsPMi8qNevo,2015-05-15T19:51:55Z,PT1M16S,6672
FeHwdyvvJ-w,2015-07-02T21:00:00Z,PT6M11S,208730
kn0NnPQ6wBQ,2015-11-03T21:12:16Z,PT3M24S,6288
1y5-c1H7vXs,2015-09-07T04:00:15Z,PT1M59S,N/A
zw9n-LOxLwU,2015-10-02T09:42:51Z,PT1M8S,1216
Dbg4QV_Q_c4,2015-12-07T01:00:01Z,PT9M8S,1209391
xR8gIMCMygM,2015-07-14T18:44:32Z,PT47S,147701
0kwZfQvhDvk,2015-02-28T18:00:01Z,PT10M36S,261402
2fxOocW7wcw,2015-02-11T16:46:20Z,PT4M41S,1312
5hkOUMJqw5c,2015-05-09T21:55:33Z,PT1M55S,1502
rQHSxbMBfCg,2015-07-31T07:00:10Z,PT43M37S,N/A
-kVWc2yZclM,2015-09-03T03:56:18Z,PT3M57S,1097919
bTVBqUFcnuM,2015-04-22T03:52:01Z,PT3M31S,1585
