id,published_at,length,views
wfYbgdo8e-8,2016-05-31T13:24:53Z,PT4M58S,14485952
AyC1K-7GfCU,2016-02-27T01:48:17Z,PT1M49S,2378600
wOmjnioNulo,2016-02-29T15:05:16Z,PT6M23S,15114091
B03RJGMch-c,2016-11-02T04:33:37Z,PT3M49S,3944298
mXWvKHWe2Co,2016-02-08T16:30:01Z,PT2M23S,1514589
a5KYlHNKQB8,2016-11-22T19:56:07Z,PT5M15S,3447015
LUL1nnxUz_c,2016-04-08T18:12:18Z,PT5M2S,1218448
aC2hKamhnsg,2016-09-26T23:19:21Z,PT3M14S,1381632
sByzHoiYFX0,2016-08-10T15:34:42Z,PT6M24S,4191553
_2LLXnUdUIc,2016-10-05T17:32:01Z,PT6M32S,6171559
GFETF6Cpl18,2016-01-06T00:15:25Z,PT42S,994
UJBCanWJD0k,2016-03-17T14:18:54Z,PT4M13S,2097788
kw_udjD2xwo,2016-03-17T14:18:54Z,PT5M23S,1936304
Av8aC8woZ1w,2016-11-10T08:51:45Z,PT3M20S,5517
zTdUTSuDAXQ,2016-12-27T15:00:08Z,PT8M6S,1481557
dE10sMu2f20,2016-11-24T17:48:59Z,PT9M54S,678826
rStL7niR7gs,2016-10-24T15:15:59Z,PT19M33S,20389590
TVq73lzjlow,2016-12-22T22:33:29Z,PT6M12S,574791
mQmAxNKghFs,2016-01-11T08:00:22Z,PT42M42S,N/A
OT3PVdzcwbU,2016-12-25T22:27:08Z,PT9M33S,376307
9FjVeHsHeI8,2016-07-05T17:19:03Z,PT15M8S,1445748
9KFC1cxkdFQ,2016-07-11T02:30:11Z,PT14M25S,1224892
HprzRH1E9e8,2016-06-29T04:28:30Z,PT10M43S,3183106
y-ynB5Vw3Bc,2016-07-07T19:44:44Z,PT11M11S,977127
NqdzWkcXbbg,2016-04-11T15:33:31Z,PT1M52S,32319
oKKSPXk4hqA,2016-12-10T02:11:58Z,PT14M22S,3105443
NFBfbLCZ504,2016-09-07T01:04:32Z,PT2M23S,471694
2odXx11l7S4,2016-09-21T21:49:21Z,PT3M22S,77028
njnJNgzhEQ8,2016-02-10T17:11:31Z,PT23M12S,N/A
l75Iwvf0LEg,2016-07-30T03:50:37Z,PT11M58S,801742
zM43juyMtwI,2016-06-23T07:00:03Z,PT41M59S,N/A
ih18qoBmusw,2016-01-02T01:00:00Z,PT11M26S,1312869
V_gy0ayT2us,2016-07-01T01:41:38Z,PT13M49S,1526154
XNMLtLO4Tbc,2016-06-26T02:04:09Z,PT11M47S,3512600
0GWHoiaaaMs,2016-03-07T14:59:30Z,PT4M45S,27636
Kjzg41Urmf0,2016-09-07T23:03:37Z,PT7M39S,213058
iPTCVLm7y1s,2016-12-05T05:01:37Z,PT22M36S,N/A
oXbyx0ZK628,2016-09-18T01:03:03Z,PT9M37S,504013
0YJ1B8NL9tU,2016-10-23T07:53:55Z,PT4M9S,9981
Qp2uw39WiDI,2016-03-08T03:59:03Z,PT2M19S,56012
ia5tj9-V4Ss,2016-04-09T20:26:29Z,PT15M28S,203065
IvbGeWZSvMg,2016-07-30T23:13:54Z,PT2M54S,230765
Vv3fyPfWYiI,2016-10-22T07:00:02Z,PT8M26S,223826
qUWcWT9nq4s,2016-05-16T04:00:04Z,PT28M30S,N/A
14sL_KF943g,2016-11-21T04:18:10Z,PT16M38S,132937
2oASyiFcDUU,2016-03-10T21:50:08Z,PT5M11S,5823566
LIjg1e3Aw5A,2016-08-26T18:30:00Z,PT19M39S,212029
ZosO9bG4PqA,2016-11-02T23:33:46Z,PT4M8S,251502
JnZl5Ww7V_E,2016-08-10T18:00:01Z,PT6M12S,295121
4zQjSnPQDpQ,2016-07-03T02:55:37Z,PT11M37S,961782
Qp2uw39WiDI,2016-03-08T03:59:03Z,PT2M19S,56012
IvbGeWZSvMg,2016-07-30T23:13:54Z,PT2M54S,230765
HIql3fyNc7s,2016-05-09T04:00:00Z,PT14M6S,282912
zL2SBpJbfHk,2016-07-19T17:00:06Z,PT7M16S,575605
qUWcWT9nq4s,2016-05-16T04:00:04Z,PT28M30S,N/A
14sL_KF943g,2016-11-21T04:18:10Z,PT16M38S,132937
EpZ4T_hTzNM,2016-12-15T16:00:01Z,PT8M11S,429798
_AKd115m3Cg,2016-07-30T19:28:54Z,PT7M9S,217045
ZosO9bG4PqA,2016-11-02T23:33:46Z,PT4M8S,251502
4zQjSnPQDpQ,2016-07-03T02:55:37Z,PT11M37S,961782
p_ef4egLk3U,2016-01-07T11:14:58Z,PT8M26S,327817
lu6d1ZdRi2A,2016-10-21T07:00:05Z,PT41M57S,N/A
_8wknohsN-k,2016-08-08T04:00:03Z,PT59M21S,N/A
WwRCgVMoCis,2016-04-22T09:00:05Z,PT42M37S,N/A
QScrkAMI040,2016-10-08T19:36:22Z,PT41M40S,N/A
vOeh1vpDMnw,2016-03-15T14:15:24Z,PT6M26S,219341
BVzsj8DG9A8,2016-09-04T07:00:03Z,PT42M3S,N/A
ReuweXgAx1M,2016-07-04T15:00:02Z,PT13M10S,891875
08YBtBCvozM,2016-05-19T07:01:26Z,PT43M1S,N/A
YOEipwBqWx0,2016-11-05T07:00:43Z,PT42M34S,N/A
7LwK8qssNLA,2016-01-28T11:25:35Z,PT7M50S,6118
vtj_NxbBIWE,2016-11-13T02:43:42Z,PT12M10S,460033
cL0eB4AClwE,2016-03-24T07:09:04Z,PT8M27S,341908
njnMXiYQiN4,2016-09-29T07:00:11Z,PT22M58S,N/A
nqN7nqsAQ28,2016-01-13T22:22:24Z,PT44M21S,N/A
rj0wBsxREus,2016-01-06T08:00:02Z,PT42M57S,N/A
trcQAcEgJq0,2016-12-08T21:01:42Z,PT40M49S,N/A
90G9AvX_brI,2016-09-04T00:57:22Z,PT3M28S,508151
NSQheb4UCbk,2016-05-24T22:47:26Z,PT18M21S,813
IkMB8j3QSvE,2016-08-13T06:07:21Z,PT13M23S,813050
w-yyLc93XfU,2016-10-31T17:18:50Z,PT2M53S,N/A
ZZRS88__u0E,2016-09-30T12:48:47Z,PT25M24S,N/A
0K9Jc7YpHsA,2016-07-15T23:54:17Z,PT14M5S,998482
VUUXgZ9mzOM,2016-02-12T08:01:19Z,PT40M54S,N/A
Z4xjMM7_jt8,2016-03-03T08:00:17Z,PT42M43S,N/A
NEtAnauBov0,2016-03-07T04:56:15Z,PT21M14S,N/A
7WbNmoJVIUw,2016-10-12T07:01:15Z,PT21M43S,N/A
-HU0tA9voeI,2016-01-10T08:00:07Z,PT43M3S,N/A
YWOE5aI-WoA,2016-07-06T07:00:19Z,PT42M52S,N/A
q7LJ7Sb-Kes,2016-01-11T08:00:13Z,PT11M23S,N/A
b9VkB9udpfg,2016-08-03T03:37:24Z,PT10M12S,600916
MPZiKq29jKQ,2016-11-17T22:09:02Z,PT4M16S,231235
7xbKLXC92jc,2016-08-03T07:00:04Z,PT21M1S,N/A
