id,published_at,length,views
EKRVILAohck,2017-07-19T15:47:39Z,PT1M42S,181356
wvWpdrfoEv0,2017-12-18T14:35:45Z,PT2M23S,2117080
Erp8IAUouus,2017-03-29T20:27:52Z,PT7M49S,10995280
YqQx75OPRa0,2017-07-13T19:50:53Z,PT6M26S,5976019
BGbNizFVz-I,2017-04-13T06:09:47Z,PT4M54S,109971
Y7MlVS3RcmA,2017-01-09T08:02:09Z,PT1H29M4S,N/A
OasbYWF4_S8,2017-06-19T09:16:18Z,PT3M40S,3793764
moFHmUMDwgs,2017-12-14T15:43:24Z,PT1M10S,50498
2LumF9U0_jc,2017-07-30T12:21:15Z,PT27S,493606
v7ZgOuRS7vA,2017-07-31T08:57:12Z,PT2M46S,N/A
Vv5fc7Nq5eQ,2017-02-01T16:01:09Z,PT3M23S,172980
5dfv1sM0uYU,2017-06-12T08:44:28Z,PT2M25S,3433
oeex9kEdv0w,2017-09-19T08:42:14Z,PT1H48M10S,N/A
77tZS2E6uNk,2017-04-27T14:04:16Z,PT3M8S,491225
fh68paAL29U,2017-08-26T01:56:53Z,PT5M21S,4107235
5Vq8xHuey8s,2017-01-28T02:03:23Z,PT6M17S,4558630
G2iPagShtmQ,2017-11-20T20:40:41Z,PT12M48S,487273
4LJN7n9yqAA,2017-11-23T02:36:09Z,PT43M1S,N/A
bCKhtr3yCHU,2017-08-10T16:40:51Z,PT5M18S,259374
jJOCHONeLmc,2017-12-06T23:42:35Z,PT2M44S,816573
MgX_yEGf_Xk,2017-03-23T15:44:05Z,PT9M42S,382726
380iex-nies,2017-08-13T13:57:58Z,PT5M33S,7093504
ZwcPGdvLY48,2017-11-13T05:01:54Z,PT22M42S,N/A
R_WcOJ68TKk,2017-09-27T20:43:42Z,PT31S,271330
ACf9uCXgeus,2017-12-19T05:00:20Z,PT1H25M,N/A
rvCvAIRyF5o,2017-05-19T07:01:00Z,PT21M2S,N/A
mR-2y42Uig4,2017-07-22T16:00:07Z,PT4M7S,383217
j74XqxNmceE,2017-08-14T04:00:30Z,PT47M55S,N/A
OQdC_hHlS7k,2017-01-26T16:31:01Z,PT2M50S,75860
DiBxkD9qWxA,2017-06-17T21:29:21Z,PT2M39S,589763
PcPLvbeYDRg,2017-04-16T00:54:06Z,PT13M44S,8723175
61JoF5b3mlM,2017-09-07T02:20:15Z,PT11M23S,2243011
